id,description,name,host_id
6918908,"If you are searching for a relaxing stay close to beautiful Ghent, then you will love this peaceful place!  The space The studio is fully renovated and located in the green surroundings of Ghent (8 km of the city center).  It is equipped with a double bed (140 cm.), couch, dinner table, kitchenette (with fridge), washing machine and a separate toilet and shower. The studio has its own entrance so you can enter and leave with your own key. The studio is 30m2.   There is a supermarket (10 min. walk), good restaurants, a delicious bakery (7 min. walk) and public transport (5 min. walk to the tram or bus stop). Ample parking space available on the street as well.   We highly recommend our place if you are working in the area for a few weeks (University of Ghent, Merelbeke, Technologiepark, etc.) and would like a private, clean and peaceful place to stay.  In immediate distance, you will also find lovely biking and walking routes",Private and peaceful studio,10349286
6951050,"Cosy and spacious apartment with a sunny furnished balcony.  Quietly situated on the edge of the medieval city of Gent. A 10' walk brings you to the heart of this vibrant core of this town with all its cafes & restaurants and its old cultural buildings,  The flat is comfortably furnished, and is also fully equipped for long-term rentals with unlimited WiFi-connection.  The flat has an underground parking space.  Tram stop at 5' walk from the flat, and takes you to the train station in 15'  The space The whole apartment is for your private use!  The apartment has one bedroom with a double bed (boxspring - 2 single attached to each other), with a possibility of an extra bed for a third person. This extra single bed can only be used if booked for a third person.  Bathroom with a new walk-in shower, washbasin, balance... The kitchen is fully equipped (combi-microwave, freezer, fridge, induction, coffee machine, dishwasher, washing machine",Bright & Cosy City Centre apartment Ghent,15300260
7378878,"Our family house is located in the city center, close to 2 parks and several bars/restaurants. Everything in the center is on walking distance, but stil in a very quiet residential area, ideal for families (with children), couples or business travelers.  We prefer not to rent to groups... our home is located in a residential area and we had some unpleasant experiences in the past with groups and noise.  The space During the Ghent festivities (Gentse Feesten), this is the ideal base: the festivities within walking distance and yet quiet. https://gentsefeesten.stad.gent/en  Parking a car is usually not a problem in our neighborhood, but it costs 6 euros per 24 hours.  Guest access Gasten kunnen gebruik maken van het volledige huis. Gelijkvloers: living, volledig ingerichte keuken en stadstuin. Speelgoed voor kinderen is aanwezig (we hebben 2 jongens, dus veel blokken en auto's) eerste verdiep: twee kamers (1x2p, 2x",Family house in Ghent city center,138572
7556348,"This Room is perfect if you like being close to everything Ghent has to offer. Have a stroll from the house to the historic quarters and loose yourself in the vivid streets of Gent. >The whole 2nd floor is yours + shared bathroom on the 1st. floor.  The space Our house is located close to the heart of the old city, and still enjoying the calm and quiet of the smaller streets near St Jacobs and the colorful Sleepstraat.  After a short 4min walk, you’ll find yourself in one of the most authentic and attractive neighborhoods of the city, known as “Patershol”.    From there on, other quarters and hidden treasures are within walking distance to be discovered.  The St-Jacobs (known for its vintage shops and charming flea market, held every Fri-Sat-Sunday morning), the vibrant Vlasmarkt (for having a drink with strangers that will become your very best friends), the green Baudeloo (for a rest under the trees), the historic Vrijdagsmarkt and the Graslei, where m",RENOVATED DUPLEX IN THE CENTRE,3362271
7568806,"Beautiful and spacious contemporary art and design B&B at the city centre. 2 bedroom appartment, fully equiped open kitchen, terrace, bathroom with rain shower etc.. At the heart of Ghent, near all important sights, bars, restaurants, musea..  The space We provide you an appartment with contemporary design furniture near the historic city centre. The shops, restaurants , bars, musea, swimming pool, hospital, train and bus stations are all in walking distance. By arrival, we give you the hotspots to visit , only known by the people of Ghent.  Guest access You will have the whole appartment for you : bathroom, open fully equiped kitchen with breakfast, fruit and a surprice there's a free private parking, free wifi, there's a records player ( so don't forget to mail your favourite music !! ) there's a terrace and access to the shared garden.  Other things to note !!!!! COVID-19 !!!!!  : <b",Citycentre design app+garage+breakf,39681783
7683600,"Studio Guarda La Fotografia is a 1 bedroom apartment in the city centre of Ghent. It's entirely decorated by owner & photographer Filip Naudts whose work is on show on the web. You can buy his prints that are in the apartment!  The space Studio Guarda La Fotografia is a one bedroom apartment in the very city centre of Ghent.   Studio Guarda La Fotografia is entirely decorated by owner and Photographer Filip Naudts, whose work is on show on www-guardalafotografia-be You can buy his prints that are in the apartment.  Couples or friends looking for the perfect location to visit the centre of Ghent. The place is most popular amongst art and photography lovers .  Guests have the opportunity to participate in a SELFIE contest for a chance to win an extra free night stay! Contest rules can be consulted @ the apartment.  The apartment, which was completely renovated in 2013-2014, is located on the same picturesque squ",Studio Guarda La Fotografia - Ghent,40352209
7705950,"The space Cosy, spacious room  Great location: - 10' biking to historic city center - city park, supermarkets, night shop, public transport... within walking distance - easy access to motorways E17 and E40 Bikes available.  The spacious guest room is located on the 1st floor next to the shared bathroom. You will find lots of daylight (morning sun), a vintage 3 quarters bed (120x190cm) with very good matras, desk, lots of storage space, books and city guides.  I share my bathroom (1st floor) and guest toilet (ground floor). You can use the kitchen to prepare some basic food, hang out in the living room or enjoy the terrace. Upon request I can organise 2 bikes. Bike maps available.  I have travelled a lot and I like to exchange our experiences. I am convinced Gent is one of the most beautiful places in the world and I would love to show you around when I have the time. Otherwise you can always ask me for so",Nice & comfy room near Ghent city,28618260
7906845,"Enjoy your stay in Ghent in renovated house; Living room, open kitchen fully equipped. 2 double beds on 1st and 2nd floor; bathroom with bath/shower and toilet. Quit street in 19th century quarter of Gent. Bus stop at 50 m and within 10 min in city.","Complete renovated house, spacious!",7679698
7906941,"Geniet van mijn ruim, lichtvol huis. Gezellige leefruimte, keuken en koer. Boven veel slaapruimte en badkamer. Gelegen in levendige wijk Brugse Poort dichtbij centrum Gent.  Bus naar centrum binnen de 10 minuten. Vlakbij natuurgebied Bourgoyen.  The space Het hele huis is ideaal voor  een groepje vriend(inn)en of een familie tot max 6  personen. Je hebt het hele huis voor jou alleen, een hele luxe. Je komt het huis binnen in de leefruimte met open keuken 15 bij 4.5m. Met een schuifdeur kom je buiten op het terras van 5 bij 4.  Op de eerste verdieping heb je een mooie slaapkamer van 5 bij 4.5 met 2 eenpersoonsbedden die je ook makkelijk naast elkaar kan schuiven.  Daarnaast de badkamer met bad/douchecombinatie, toilet en lavabo met kastje. Hier vindt je ook de handdoeken.  Op de tweede verdieping nog eens 2 aparte slaapkamers voor telkens 2 personen. Eén dubbelbed en 2 éénpersoonsbedden.  Alle bedden ","Volledig huis,alle comfort,privacy!",7679698
8066950,"Sleepin’Bont is a sunny and spacious studio with a balcony, situated in a green and upcoming neighbourhood close to the historic city center, public transport (trainstation Gent-dampoort on 200m) and diverse facilities as a supermarket, a biomarket, swimming pool, cosy bars and resto's. It's the perfect base to discover and experience Ghent.  The space We offer a very spacious and sunny studio with high ceilings and a balcony with a view. The studio is situated on the first floor of our 19th century family house in a great residential neighbourhood featured by parks and water next to the historic city center.  The studio has a large bedroom, a living space with a sofa bed, a separate bathroom (with shower, sink and toilet) and a kitchenette (with fridge, nespresso machine, cooker and sink). We provide you some basic, biological and local products : tea + nespresso coffee caps | biological juice | home-made granola | yogurt | fresh fruit | butter | home-m","Sleepin'Bont, a central & spacious spot",42607240
8077970,"op 10 min stappen van Gent Centrum, badkamer met bad/douche en keukentje ter beschikking gratis WIFI  The space Zolderverdieping met afzonderlijke badkamer op de tussenverdieping en keukentje op de eerste verdieping  Guest access Badkamer en keukentje  Other things to note Parking voor het huis op het plein of aanpalende straten. 6 euro per dag",Loft Lien in Gent Centrum,42670243
8282345,"Rural B&B, 3 rooms, private bathroom (shower and toilet), TV, free Wi-Fi, 2 km from E40 and R4, 7 km from Ghent, at the bicycle node 69 Leiestreek.  Living area, terrace, garden, swimming pool, bicycle hire and storrage, boat trip on the river Leie.  The space In the shared living space can you enjoy a rich, delicious breakfast with freshly squeezed juice, homemade jams, fresh meats and cheeses from our local dairy, or just stay in front of the cosy fireplace. In good weather you can have breakfast in the garden. From april to October you can make use of the heated swimming pool. At the bar you can enjoy a drink at reasonable rates, BBQ, in the evening sitt around the campfire, play petanque, bird spikes, beat, nail or just lazing around in the garden. We also have a number of stables for horses and an outdoor track.  Guest access Next to the breakfast room is the kitchen where you can prepare yourself or warm up. Everything is there. The ref",B&B Halewijn,43671238
8296779,"Rural B&B, 3 rooms, private bathroom (shower and toilet), TV, free Wi-Fi, 2 km from E40 and R4, 7 km from Ghent, at the bicycle node 69 Leiestreek.  Living area, terrace, garden, swimming pool, bicycle hire and storrage, boat trip on the river Leie.  The space In the shared living space can you enjoy a rich, delicious breakfast with freshly squeezed juice, homemade jams, fresh meats and cheeses from our local dairy, or just stay in front of the cosy fireplace. In good weather you can have breakfast in the garden. From april to October you can make use of the heated swimming pool. At the bar you can enjoy a drink at reasonable rates, BBQ, in the evening sitt around the campfire, play petanque, bird spikes, beat, nail or just lazing around in the garden. We also have a number of stables for horses and an outdoor track.  Guest access Next to the breakfast room is the kitchen where you can prepare yourself or warm up. Everything is there. The ref",B&B Halewijn,43671238
8338763,"We offer you a spacious and quiet room with a theatrical wink. The room has a terrace and a loggia where you can dream away. Also the bathroom is special: if you open the sliding window, you can take a bath in open air.  The space The suite has a wooden floor, a large bed and a working space. In the front of the room you have a loggia facing the water and the boats where you can sit outside even if it rains. In the back of the room there is a quite terrace with a couch where you can listen to the birds. The bathroom is light and bright with a toilet and a bath. If you want to bath outside, you just have to open the sliding window.  Guest access The entire second floor is at your disposal.",Romantic suite along the waterfront,43955111
8347942,"Spacious loft in the heart of the historic centre of Ghent.  One minute walk from the central historical sights, supermarkets, shopping and drinking & dining occasions.  I hope to welcome you soon! (Price includes tourist city tax)  The space Spacious loft with very bright living area. Separate bedroom with double bed. Bathroom with toilet, huge bathtub and walk-in shower. Fully equipped kitchen + Nespresso machine (we provide cups). Fast WiFi internet. Flat screen TV with international channels. Double sofa bed. Perfect for a couple + 1/2 ppl.  Guest access The entire third floor of the house is yours. You have a private loft.",Spacious loft in the historical centre,39837750
8366610,"-> Spacious loft-style apartment -> Can be configured to sleep from 1 to 6 people in high quality beds -> Located in the pedestrian area of the historical centre of Ghent: Cathedral and Churches - Historical Squares - Bell Tower -> Organic market right in front -> Public transport: tram 1 and 4 with fast connection to St. Pieters station -> Sunny terrace: views of the bell tower and the cathedral -> Elevator, access special capacities -> Garage service: under reservation  The space Enjoy movies and music in the living room: there is a cinema projector, Netflix, Bose surround sound and Apple TV.  Disfrutar de películas y música en el salón: se cuenta con un proyector Panasonic cine, Netflix, sonido envolvente Bose y Apple TV.  Guest access The entire loft and its spacious terrace are at your disposal.  Todo el loft y su terraza espaciosa estan a su entera disposicion .  Other ",Sunny & Stylish Loft in the Heart of the Old Town.,20327558
8480136,"Ons huis is een ruime en gezellige plek op 3km van het oude centrum van Gent. Als foodie maak je gebruik van onze volledig uitgeruste keuken of doe je beroep op de Thai en Turkse take-aways in de buurt. Ledeberg Leeft! Je vindt er alles wat je nodig hebt op wandelafstand!  Logeren in ons huis betekent: veel ruimte, veel licht, kindvriendelijk, groene stadstuin, een lieve poes Amy en véél planten... en dit allemaal op wandel-, fiets-  of tramafstand van het historische centrum van Gent!  The space Ons huis is ruim en licht, een verrassing als je binnenkomt! Open leefruimte en keuken worden verwarmd met  vloerverwarming.  Een groene stadstuin met terras en BBQ, ideaal om even te vluchten uit de drukte van de stad...  Guest access Wij hebben geen afgesloten ruimtes en rekenen er dan ook op dat jullie respectvol met onze spullen omgaan.  Other things to note Amy is onze lieve kat. Please be gentle and loving to her",Ruime gezinswoning met stadstuin,6552370
8482980,"A large detached house with approximately 250m² of space. Besides that, you have acces to a 150m² garden and an extra rooftop terrace of 10m². Very spacious and modern designed. An absolute piece of gold with the quietness of the countryside but still amazingly close to the city centre (10min by bus)",Modern spacious house near the city centre.,24314613
8512243,"Modern apartment on the first floor, located in the quiet historical neighbourhood 'Prinsenhof' (Court of Princes). The tourist information centre is at 700m distance, and the tram stops 20m from our door. Wifi and parking are available.  The space The apartment has a nice wooden floor and a terrace. In the bathroom there is a shower and a sink, the toilet is separate. The bedroom has a double bed, 1.6m by 2m. The kitchen is equipped with an electric hob and oven, a refrigerator, a coffee machine, a electric kettle, and all the tools to cook.",Apartment in the Prinsenhof quarter,44823655
8685709,"Great location right in the historic city center, situated on 100 meter of the main shopping street @ Ghent ! Renovated clean cosy apartment. For business or leisure, 4th floor whit view on the main cathedral. The best place to be in Ghent ;)  The space Quote from a guest: ""Ghent is like Paris, but everything is so close that you would think it's fake and specially made for tourists ... BUT IT IS REAL !!!""  Guest access Alle moderne comfort, inclusief draadloos internet, koffie- en theefaciliteiten.",Citycenter trendy rooftop apartment,38890537
8734636,"Guest access Quiet room, double bed, shared bathroom beside the room, shared full equiped kitchen, sitting room with fireplace and tv, lovely garden and storage for luggage if requiered.  Other things to note We have 2 little cats",Peacefull located room in Gent,19441734
8766948,"This spacious apartment is located in the very heart of Ghent. The street reminds you of Paris and everything is nearby: cocktail bars, coffee corners, resto's, hipster stores, supermarkets, museums...  Public Transport is just across the street.  The space I have a unique apartment which I adore a lot. It has very cool features. It's perfect for 2 persons.  Other things to note It's so easy to walk from my apartment for some sightseeing.",Stylish apartment city centre Ghent,10131924
8836731,"Modern appartement met unieke materialen voor 2 personen met 1 slaapkamer met aangrenzende badkamer en sauna. Ruime living met keuken, zuidgericht terras met privacy. Stap 10 minuutjes tot het historisch centrum of neem de tram vlakbij. Geniet na een dagje Gent van een sauna en koel af op het terras.  The space Ruimt appartement in 2 verdiepingen: - Verdieping 1: wc, keuken, living - Tussenverdiep: terras - Verdieping 2: 1 slaapkamer en badkamer met sauna  Guest access De gasten hebben toegang tot alle delen van het appartement.",Modern appartement met sauna + zonovergoten terras,11361327
8963647,"We welcome you in our 70m2 large, fully renovated apartment within walking distance ( 750m) from the heart of historical Ghent , the 3 towers, Gravensteen Castle, the entertainment district , bars , restaurants, museums and shops. Possibility to store your bikes. Train station : 10 minutes by tram.  Guest access You have access to the apartment on the second floor and the front door by a 6 digit code. For the interior doors you need to add a hashtag #.The code gives you access to the wifi network as well. Possibility to leave the luggage in a locked storage room when you want to deposit the luggage before check in time (15o'clock) or later then check out time (11 o'clock). If you want to make use of this service, please let us know.  Other things to note The Ghent Government charges a tourist tax of 2,83€ per person per night. Whether you visit the city for business reason or tourism. This fee is not included in your reservation price an",2 Bedroom apartment centre Ghent,14549050
8977004,"Mijn ruimte is vlakbij openbaar vervoer en restaurants en eetgelegenheden. Je zult genieten van mijn plek vanwege de sfeer. Mijn ruimte is geschikt voor stellen, solo-avonturiers en zakelijke reizigers.",Cosy House Near Citycenter,27210305
9038976,"In a historic house in the centre we offer contemporary, trendy, fully equipped apartments. This spacious apartment with mezzanine has a nice terrace with view on Gravensteen, Kraanlei en the Leie. www.bizzaleau.be  The space Spacious apartment with fully equipped kitchen, 2 bedrooms with dressing, mezzanine, luxury bathroom with rainshower and terrace with view on Leie.  Other things to note Minimum stay of 2 nights",Trendy flat in historical centre,46955407
9048939,"Renovated in January '18! This apartment, built in 1864, is located in the very heart of Ghent: the Ajuinlei, the street with Parisian allure, close to all the most beautiful spots in Ghent. You can expect incredible views from the terrace over the Lys canal.  The place is 75m² and although in the very center of Ghent, it is amazingly quiet. Large Hot Tub/Jacuzzi for 2 in the bathroom. Opera: 150m Graslei: 310m Kouter square: 180m Koophandel Square: 65m Restaurants: 1m Aula & Het Pand: 200m  The space The apartment has a beautiful hard wooden floor, very high ceilings, kitchen with a lot of equipment and dishwasher, very large bedroom, and a bathroom with a Whirlpool bad. On the terrace you will find place for up to 4 persons. Feel free to water the many herbs and flowers.   Views from the terrace and windows in the living room:  - The tower of the Belfry with the golden dragon - The tower of the St Baafs",Breathtaking Views in ❤ of Ghent with Hot Tub,17321727
9087777,"A bright and nicely Art-Nouveau decorated room with all the necessities for a pleasant stay located on the first floor of a Belle-époque house in a calm residential neighbourhood; just a 10 minutes walk from Gent-Dampoort train station (Flixxbus - Eurolines) and a 20 minutes walk to the wonderful historic centre. Also in the immediate vicinity, there are facilities available. Directions to discover the city will be put at your disposal. Extra measures are taken for a corona-safe environment.  The space A cozy and comfortable room filled with light on the street side of the house which will make you feel at home in no time.  The charm of the house from 1912 comes with a series of stairs leading to your room on the first floor and bathroom located on the basement floor. A comfortable canopy bed,  a desk, a seating area, an eating area, and on top of that sole coffee and tea facilities are awaiting you. The L-shaped room is larger than seen in the pictures because a ",Private room in a Belle-Epoque house,47388258
9213284,"We offer a spacious & modern fully furnished & equipped apartment, close to the center of Ghent, within 1 hour from Bruges, Antwerp and Brussels. The flat has a fully equipped kitchen, bathroom, WiFi, flatscreen TV, queen size boxspring and sofabed.  The space Our furnished flat is fully equipped with the following appliances & facilities: - 60m² spacious, modern apartment - Ideal for 2 persons - Newly built and decorated (2015) - Central heating system with thermostat - High-speed Internet (WiFi & 3 LAN connections) - Cable TV - Private underground parking space (one car) - Secured bicycle parking - Separate storage room in basement (4m²) - Free Ghent city guide",Furnished 2 person apartment for rent in Ghent,25065540
9230388,"The cosy house is perfect for 6 people. With the sleeping sofa and extra mattresses, you can stay with 10 people maximum. The house is situated 5 minutes walking from the train station of Ghent-Sint-Pieters, in a quiet area, close to the church ""Sint-Paulus"". In the close neighborhood you'll find some restaurants/cafés and also a small supermarket.  The space When entering the house at the ground floor, you'll find an open space with kitchen and living room. On the first floor you'll find the bathroom and a double bedroom. On the second floor is another cosy room with one single bed and 3rd sleeping room with a double bed. In the living room, you can use the sofa as an extra double bed. Behind the house, there's the 4th sleeping room for one to three persons.  There is a beamer available in the living room. Also a lot of board games and strips.  Guest access Walking to the center of Ghent takes about 20-25 minutes. There is also a t",Charming house near the station of Gent-St-Pieters,47984843
9378818,"The 200 sq m (2200 sq f) loft is located near Ghent Dampoort railway station. Brussels, Antwerp  and Bruges are +/- 40min by train. Ghent city center is a 15 min walk. The loft resides on private, closed-off property with designated parking.  The Brooklyn-style loft has a large living area, royal kitchen, pool table, desk, 2 toilets, and a large shared bathroom. The loft was recently completely renovated according to a NY Brooklyn loft style.  The space Newly renovated loft where quality materials were used to create a NY Brooklyn-style vibe. You can get seated at the kitchen island, the bar or the pool table (has a specific cover for dining purposes). The master bedroom features a kingsize bed and outside there's a private terrace of 20 m2 (215 sq f) which has direct sunlight from mid-afternoon till nightfall.  Guest access The loft is less than 5 min walking from Gent-Dampoort Railway station and is also easily accessible by car (large",Fully renovated Brooklyn-style loft in Ghent,48658556
9405140,"A small, cosy houseboat with basic comfort on a canal near the centre of Gent. Very close to public transport, but only a 20 minutes walk to the centre. 2 bicycles are available.  Toilet, kitchen with refrigerator and fresh water, large double bed and living room with panoramic view over the canal.  There is NO internet, and NO shower.  I don't provide breakfast, but coffee, jam and basic cooking ingredients and utensils are present.   There is a hostel nearby for cheap breakfast and free shower  Other things to note It should be noted that this is a vehicle, and some people complain about gasoline smells. Not everyone smells it, but you should be aware.  Also, there are spiders everywhere. If you are subject to arachnaphobia, stay away. I can remove them, but they return before I turn my back.",Small houseboat - Kleine woonboot (12 meter),48772653
9517251,"Apartment with 2 bedrooms on the first  floor 1 room with double bed . 1 room with single bed. Kitchen/ dining room  The bathroom has a shower,double sink and wc. Wifi in all rooms,TV,central heating. private entrance  Guest access Garden Place for bikes Private entrance Fire escape  Other things to note washing machine for all guests",comfortable 2 bedroom apartment,17180388
9576300,"Large with lots of light ground floor apartment with views of parkéland, walking distance to downtown, public transportation 30m, bicycles, large living room with sofa and open kitchen, large bathroom with tub and shower, washer and dryer, internet, Parking place available in the garage at 5 € a day .  The space This apartment is perfect for 2 or 4 guests. It's brand new and fully equiped.  It's yours for your whole stay. It has a big living room with open kitchen , toilet, bedroom and bathroom, garden , terrasse .  Guest access You can use the whole apartment  There is also a parking place on the basement You can use bikes",Spatious app  with terras - garden,49569416
9641974,"M/S Carpe-Diem, ""Seize-the-Day"", is a barge built in 1951.  The ship is moored in the old docklands of Ghent and has been transformed into an exceptional, eco-friendly home. The ship's deck house has been completely renovated into a comfortable, modern studio of 30 square meter.  The deck house accommodates max. 2 people, with a living/bed room, kitchen, separate bathroom with toilet and shower, as well as a washing machine and tumble dryer.  Ideal for tourists and expatriate professionals.  The space The ship, with registration n° 0600465, was purchased from a retired skippers couple in 2014.  The vessel had always been used to transport goods (e.g., wheat, steel rolls, etc.).  The ship measures 39,10 meter long by 5,05 meters wide.  It is powered by a still functional 268 kW Cummins Marine diesel engine. ​ The renovations started in 2015, based on a novel concept whereby the cargo hold remained intact and the main residence - consisting of contain","M/S Carpe-Diem ""Deck House"" - Studio on a Barge",49858029
9743759,"Recent gerenoveerd huis in retrosfeer met grote lichtrijke keuken, ruime gezellige woonkamer, 3 slaapkamers, 2 badkamers, 2 toiletten, terras en tuin. Een extra babybedje is beschikbaar. Alle voorzieningen (wifi, tv, kookgerei, handdoeken, lakens,...) zijn beschikbaar. Er is ook veel speelgoed aanwezig. Ik woon zelf in deze woning als ze niet verhuurd is.  The space Recent gerenoveerd huis in retrostijl. Moderne keuken met gasvuur en toestellen en aangrenzende eetplaats met grote tafel. Apart toilet. Groene stadstuin met terras en tuinmeubelen. Gezellige, ruime woonkamer met comfortabele zetel. 1 slaapkamer met dubbel bed van 120cm , 1 slaapkamer met een eenpersoonsbed, 1 slaapkamer met dubbel bed van 180cm, 1 badkamer met bad, 1 badkamer met inloopdouche en toilet.  Na positieve ervaringen met het verhuren van mijn extra slaapkamer, verhuur ik nu occasioneel mijn volledige woning.  Guest access Ga","Ruim huis in rustige straat, ideaal voor families.",50268558
9871840,"Deze gezellige zolder-studio is op 3,5 km van het historische centrum van Gent gelegen.  Zeer ruime kamer op de 2de verdieping.  Koffie, thee en water voorzien (geen ontbijt). Gedeelde badkamer.  The space Voor eventuele 3 gast/kind is er een afzonderlijke zetel die als bed kan dienen,  mits kleine toeslag. Voor een baby is er ook een kinderbedje voorzien.  Af te spreken met verhuurder.",Maison Mahy - Gentse zolderkamer/studio,46370328
9892022,"In een historisch pand, gelegen in hartje Gent,  bieden we een eigentijds trendy, volledig ingericht appartement aan. Recent volledig nieuw appartement met groot inpandig terras, in een hippe winkelbuurt vlakbij het Gravensteen en de Leie.  The space Spacious apartment with fully equipped kitchen, large bedroom with dressing, luxury bathroom with rainshower and large roofgarden.  Other things to note Minimum stay of 2 nights",Nieuwe flat in historisch centrum,46955407
9895777,"A cinq minutes à pied de la gare Saint Pierre, au centre de Gent, magnifique studio de 48 m2 avec un grand balcon plein sud, sans vis à vis. Un parking gratuit, privé. Tout confort avec un vrai lit. Wifi et télévision écran plat.  The space Studio de 48 m2, avec grand balcon avec table et chaises au soleil et sans vis à vis. Armoire à disposition. Equipement de cuisine complet.  Guest access L'accès à l'appartement est indépendant. Aucun contact. Clé dans boîte aux lettres.  Other things to note Suite à la situation sanitaire, des mesures d'hygiène  sont strictement respectées (linge de maison lavé en laverie, gel hydroalcoolique dans la cuisine, femme de ménage désinfecte drastiquement).",Studio lumineux et confortable,38437518
9982414,"Modern appartement op de eerste verdieping, gelegen in de rustige historische wijk 'Prinsenhof'. De toeristische dienst ligt op 700m afstand en de tram naar het station stopt 20 meter van onze deur. Wifi en parkeergelegenheid zijn beschikbaar.",Leuk appartement in het Prinsenhof,44823655
10015215,"Eigentijds appartement op de 2e verdieping in een gerestaureerd historisch gebouw.  Gelegen in het voetgangersgebied van het bruisende oude stadscentrum en toch rustig binnen in het appartement.  Je bent op enkele passen van alle bezienswaardigheden, bars, restaurants, musea.  Goed bereikbaar met het openbaar vervoer.  The space Je komt binnen in onze ruime living, met zithoek, bureau, en met open keuken. De grote ramen met veel lichtinval maken van dit appartement een rustpunt in het centrum. Eén slaapkamer heeft een badkamer met bad, de tweede slaapkamer heeft een douche.  De derde slaapkamer is een kinderkamer met een dubbel stapelbed.  Guest access Het volledig appartement is ter beschikking, er zijn geen gedeelde ruimtes.  Other things to note Minimum verblijfsduur is 2 nachten.  Alles is aanwezig om voor een comfortabel verblijf te zorgen en uw bagage licht te houden (zijn inbegrepen :  voldoende handdoeken, l",Ruim appartement hartje Gent.,51433840
10083084,"The room is approx. 20sqm, located on the second floor of the house; the toilets and the bathroom are located on the ground and in the basement floors. At a 12-minute walk distance to Gent-Dampoort train station, nearby bus stations. Less than 20 minutes of walking and you are in the historical center. Also ideal for trips to Bruges, Antwerp, or Brussels. The room & house is very clean, safe, and peaceful. Extra measures are taken for a corona-safe environment. Looking forward to host you :)  The space A spacious and comfortable nicely decorated room which will make you feel at home. Windows are looking towards the streetside in a calm neighborhood. The charm of the house from 1912 comes with a series of stairs leading to your room on the second floor and bathroom located on the basement floor. A comfortable double bed, arm seats, and a desk/eating area with coffee and tea facilities are awaiting you. ***The room has a lock from inside of the room*** <br",Curiosity room in a Belle-Epoque house,47388258
10093174,"We welcome long stay guests. On arrival clear expectations & house rules so no misunderstandings. Above the AirBnB-rent (taxed by national government), the city of Gent charges 3€/person/night extra; so they have additional 1 paper and cash to follow up. The appartment is very clean, cozy, silent & comfortable. The Kitchen & Bathroom well equiped. Location is strategic for day trips and convenient for parcs, super market, public transport and laundry, restaurant all at +/- 5 minutes walk.",comfortable charming studio near StPieters station,51792074
10201604,"Our house is situated in a quiet neighborhood close to the station of Ghent. The historical Center can easily be reached on foot or by bus (10- minutes). The University Hospital (UZ) is within walking distance. The house is supplied with all conveniences.  It's spacious (145 m2), with a very  reliable, high-speed internet connection. This house offers you an ideal place to work, live and feel at home.  The space The house has a ground floor and two upper floors. On the ground floor is a modern, well- equipped, brand new kitchen. Dishwashers, oven, microwave, gas range, cooking range, refrigerator , freezer, ... are provided. There is an ample supply of crockery and cooking equipment. There is a small terrace and a spacious dining area. There is also a comfortable seating area where you can watch television quietly. The ground floor has underfloor heating. There are 2 bedrooms, one on the first floor and another on the second floo",Well-situated and Comfortable Home.,1792071
10308285,"Genieten van een verwenweekje of een zakelijk verblijf in een stijlvol gemeubeld duplex dakapp. met terras ? Res. Domino is de perfecte oplossing voor jouw kort verblijf – zowel voor studie, werk, als voor een heerlijke vakantie in Gent-centrum.  The space Ons dakappartement is recent helemaal  nieuw ingericht en kreeg een eigentijdse cosy inrichting . De studio heeft een groot terrasraam met toegang tot het dakterras waar men zich echt waant in de kruin van onze bomen ! Heerlijk zicht !  Een volledig  uitgeruste leuken met frigo met diepvriesvak , combi-oven, electr. kookplaat,bestek, borden, kookmateriaal, Senseo koffiemachine met startpakket + theefaciliteiten voor 4 personen. Startpakket keukengerief en ontbijtgerief (confituur, choco), handdoeken. Er is  een aparte badkamer met inloopdouche, toilet, lavabomeubel + haardroger + startpakket badprodukten & badhanddoeken en handdoeken. Zeer gezellige living met zetelbed (2pers.) , een één",LOFT- Duplex-in canopy of trees center Ghent,53039258
10312116,"In a quiet alley, at the centre of the city, you can find our cosy holiday accommodation. We offer you our attic apartment for shorter or longer stays. It can easily take 2 adults or a family with two kids.  It’s the ideal starting place to explore our marvellous city. We have been put by Toerisme Vlaanderen in Comfort Class. We look forward to host you in our stylish historical place.  The space Our spacious (50 m²) and quiet attic on the third floor offers you al facilities for two adults or a family with up to 2 children. There is a twin bed, and 2 couches suited for children up to 16 years. Additionally, we can provide a baby bed and baby chair. The room is equipped with a kitchen, and has a cozy dining and sitting area.  In a spacious, fully equipped bathroom (on the second floor) you can enjoy a comfortable bath. The authentic wooden floors and the sober and stylish decoration give the whole room a comfortable and cozy atmosphere.  Guest access<",Something Els. Appartment in the heart of the city,53059501
10325779,"Top Location! Very nice, fully renovated apartment right in the center of the city and the oldest part of town.  The apartment was lovingly brought up to date with modern comfort inside an 18th century building. Fully equipped kitchen, separate workspace and private terras",Charming old center apartment,53135103
